Site,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Count_Years18To49_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_Years18To49_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_Years18To49_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_Years18To49_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Count_Years50To64_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_Years50To64_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_Years50To64_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_Years50To64_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Count_65OrMoreYears_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_65OrMoreYears_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_65OrMoreYears_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_65OrMoreYears_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Count_Male_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_Male_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_Male_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_Male_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Count_Female_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_Female_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_Female_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_Female_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Count_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:EstimatedCumulativeCount_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_EstimatedCumulativeCount_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_EstimatedCumulativeCount_MedicalConditionIncident_COVID_19_Seroprevalence,End_Date
dcid:geoId/42,354,22.7,17.84,27.83,402,22.6,17.55,27.68,422,17.5,13.82,21.8,350,12.8,9.09,16.91,603,19.8,16.24,23.98,925,19.9,16.82,23.08,1528,19.9,17.21,22.75,2545445,2201362,2909994,2021-03-21
dcid:geoId/72,325,6.0,3.32,9.31,325,30.7,24.92,36.9,325,32.2,26.37,38.32,325,52.5,46.83,59.37,543,28.5,23.98,33.61,757,31.6,27.12,35.61,1300,30.1,27.43,33.27,1019469,929038,1126835,2021-03-16
dcid:geoId/44,41,,,,395,10.5,7.56,13.72,254,12.9,9.03,17.25,248,7.7,4.47,11.29,405,14.4,9.66,20.04,533,9.4,6.12,13.49,938,11.8,9.03,15.09,124680,95412,159443,2021-03-20
dcid:geoId/45,285,35.9,30.52,41.81,310,23.3,18.28,28.42,397,20.3,16.21,25.27,514,15.2,12.26,18.56,648,23.2,19.35,27.28,858,25.0,21.53,28.59,1506,24.1,21.5,26.78,1194378,1065524,1327197,2021-03-18
dcid:geoId/46,3,,,,65,,,,49,,,,50,,,,62,,,,105,20.9,6.68,48.68,167,26.8,15.5,45.35,231629,133965,391955,2021-03-19
dcid:geoId/47,192,30.1,23.23,37.31,473,27.0,22.84,31.24,434,23.7,19.65,27.82,490,14.8,11.8,18.19,626,24.3,20.27,28.68,963,25.9,22.67,29.21,1589,25.1,22.71,27.86,1669423,1510462,1852993,2021-03-21
dcid:geoId/48,61,,,,459,29.6,24.29,35.09,430,22.4,17.8,27.05,447,16.4,12.57,20.78,525,23.7,18.5,30.78,872,24.2,20.05,28.56,1397,24.0,20.17,28.04,6692447,5624444,7819009,2021-03-17
dcid:geoId/49,97,43.9,32.56,54.86,418,28.6,23.44,34.23,377,25.3,20.32,30.32,416,15.7,11.75,19.83,522,29.5,23.15,35.63,786,33.3,27.7,38.75,1308,31.4,27.49,35.36,956240,837167,1076836,2021-03-18
dcid:geoId/51,15,,,,768,16.7,13.73,19.76,499,10.4,7.64,13.46,573,8.2,5.3,10.76,692,15.1,11.03,22.82,1163,13.9,10.5,16.71,1855,14.5,12.17,17.96,1219997,1023956,1511114,2021-03-17
dcid:geoId/50,15,,,,260,2.4,0.6,4.58,154,1.8,0.0,4.27,143,3.4,0.0,7.75,191,3.2,0.64,7.54,381,2.7,0.9,5.2,572,2.9,1.22,5.56,18124,7625,34749,2021-03-19
dcid:geoId/53,270,9.5,5.51,13.83,350,6.6,3.99,9.43,342,5.2,2.7,8.16,350,4.7,2.63,7.51,552,8.3,5.67,11.24,760,5.1,3.32,7.02,1312,6.7,5.12,8.39,488721,373470,611995,2021-03-20
dcid:geoId/55,125,40.1,31.14,50.18,418,32.4,26.96,38.04,388,28.7,23.29,34.87,348,21.1,16.08,26.07,524,33.5,28.11,38.76,755,29.6,25.27,33.51,1279,31.5,28.02,35.03,1820194,1619106,2024171,2021-03-20
dcid:geoId/54,50,,,,455,13.5,10.35,17.44,405,10.1,6.93,13.7,349,5.9,3.36,8.66,500,12.8,8.33,17.71,759,10.0,7.16,13.2,1259,11.4,8.53,14.18,208512,156018,259360,2021-03-20
dcid:geoId/56,12,,,,144,37.7,29.72,46.25,129,22.1,14.83,29.27,92,11.3,4.92,18.1,160,30.1,22.03,38.13,217,29.4,22.85,37.0,377,29.7,24.32,35.19,172805,141503,204748,2021-03-20
dcid:country/USA,8702,25.1,24.0,26.19,19195,22.0,21.23,22.82,17266,18.8,17.89,19.7,17133,13.4,12.67,14.14,25422,20.4,19.72,21.08,36874,20.5,19.82,21.07,62296,20.4,19.97,20.89,65872218,64483735,67454443,2021-03-21
dcid:geoId/02,42,,,,512,10.7,7.74,13.63,324,13.5,9.77,17.81,435,9.2,6.13,12.5,513,16.8,9.4,24.03,800,10.3,7.33,13.75,1313,13.7,9.15,17.69,101177,67574,130643,2021-04-01
dcid:geoId/01,253,35.0,29.08,41.14,413,31.4,27.13,36.56,355,25.5,20.78,29.66,388,18.7,14.44,22.64,580,28.0,23.67,32.09,829,29.9,26.46,33.2,1409,29.0,26.31,31.53,1410757,1279897,1533834,2021-04-04
dcid:geoId/05,321,30.0,24.79,35.63,611,27.5,23.65,31.2,436,16.4,12.69,20.23,366,13.9,10.46,17.92,659,24.2,20.86,27.69,1075,23.3,20.58,25.92,1734,23.7,21.62,25.87,708789,646583,773687,2021-04-04
dcid:geoId/04,280,31.0,25.46,36.91,331,29.0,24.41,34.08,355,25.9,21.47,30.62,371,15.3,11.94,19.4,538,27.0,22.72,31.16,799,26.3,22.92,29.7,1337,26.6,24.04,29.46,1847818,1669983,2046493,2021-03-25
dcid:geoId/06,323,35.1,29.67,40.75,329,23.0,18.66,27.62,324,21.2,16.76,25.91,327,12.4,9.23,16.6,620,19.8,16.4,23.33,683,28.1,24.34,32.22,1303,24.0,21.46,26.76,9395702,8401324,10476208,2021-03-29
dcid:geoId/08,65,,,,505,10.7,7.84,13.81,292,14.3,10.32,18.66,353,9.8,5.52,16.96,540,14.4,8.64,20.76,675,11.5,8.47,14.93,1215,12.9,9.24,16.76,713517,511077,927019,2021-03-24
dcid:geoId/09,329,12.6,8.84,17.02,323,11.3,7.53,15.03,323,10.6,6.92,14.44,326,9.4,5.91,12.87,538,12.3,9.14,15.49,763,10.0,7.47,12.57,1301,11.1,9.19,13.08,397547,329140,468461,2021-04-04
dcid:geoId/11,141,38.5,30.17,46.79,351,20.7,16.64,25.36,366,22.5,18.46,26.87,349,12.7,9.3,16.57,496,24.9,20.39,29.62,711,21.6,17.94,25.55,1207,23.2,20.25,26.25,158804,138611,179681,2021-04-03
dcid:geoId/10,124,18.9,12.46,26.46,614,19.0,15.92,22.54,399,17.7,13.78,21.71,545,8.0,5.57,10.68,715,18.0,14.95,21.63,967,15.6,13.23,18.55,1682,16.8,14.83,19.01,159515,140810,180499,2021-04-03
dcid:geoId/12,329,29.5,24.66,34.64,333,22.3,18.11,26.84,330,12.6,9.28,16.1,337,15.9,12.14,20.17,597,18.6,15.26,21.98,732,22.4,19.17,25.56,1329,20.5,18.26,22.95,4222618,3761220,4727273,2021-03-26
dcid:geoId/13,325,18.8,14.35,23.36,326,18.0,13.64,22.45,326,18.7,14.04,23.26,324,11.8,8.16,16.07,565,18.0,14.26,21.77,736,17.1,13.98,20.08,1301,17.5,15.08,19.98,1802060,1552861,2057437,2021-04-01
dcid:geoId/15,55,,,,419,2.0,0.6,3.76,421,0.9,0.0,2.01,424,0.8,0.0,1.92,483,0.9,0.0,2.07,836,2.0,0.69,3.78,1319,1.4,0.66,2.52,19908,9385,35835,2021-04-03
dcid:geoId/19,69,,,,594,18.2,15.12,21.77,374,21.6,17.35,26.11,251,11.5,7.16,16.21,567,18.4,14.81,22.36,721,16.9,13.51,20.88,1288,17.7,15.15,20.36,554452,474574,637777,2021-04-03
dcid:geoId/16,24,,,,515,13.6,10.43,17.04,411,15.2,11.12,19.46,353,10.9,7.32,15.24,490,14.3,9.39,20.49,813,17.3,11.42,24.5,1303,15.8,12.15,20.39,266674,205069,344144,2021-04-03
dcid:geoId/17,337,34.3,28.74,39.79,356,28.3,23.72,33.01,408,27.9,22.63,34.0,356,21.6,16.72,26.6,556,27.8,23.25,32.77,901,29.4,26.25,33.13,1457,28.6,26.14,31.31,3666948,3351539,4014411,2021-04-03
dcid:geoId/18,9,,,,252,25.3,18.98,32.86,83,19.4,7.71,34.35,111,6.6,2.28,12.63,121,24.9,16.43,35.01,334,18.3,13.56,23.87,455,21.5,16.83,27.11,1427047,1117079,1799406,2021-03-30
dcid:geoId/20,162,20.3,14.03,27.2,424,11.3,7.96,15.28,317,16.1,12.07,21.19,328,12.1,8.31,16.49,526,15.1,11.56,18.86,705,14.0,11.07,17.51,1231,14.6,12.42,16.98,424681,361270,493910,2021-03-27
dcid:geoId/21,333,29.9,24.54,35.54,360,24.5,19.68,29.09,311,19.8,15.39,24.45,378,15.5,11.52,19.86,545,25.8,21.57,29.99,837,21.1,17.85,23.92,1382,23.4,20.92,26.06,1039008,928891,1157117,2021-04-03
dcid:geoId/22,320,16.1,10.39,21.73,323,11.9,8.22,16.32,325,16.6,12.01,21.77,325,11.8,8.05,16.46,510,14.0,10.69,17.68,783,13.6,10.6,17.21,1293,13.8,11.56,16.47,643579,539114,768098,2021-04-03
dcid:geoId/25,189,10.7,6.19,15.44,378,6.1,3.67,8.59,372,12.3,9.14,15.73,363,9.0,6.15,12.09,539,9.6,7.14,12.33,763,8.0,5.75,10.06,1302,8.8,7.18,10.43,601057,490408,712389,2021-04-03
dcid:geoId/24,54,,,,291,36.2,31.16,41.4,296,13.5,9.95,17.69,274,12.3,8.51,16.02,404,33.5,27.45,39.17,511,18.8,14.0,23.77,915,25.9,22.12,29.39,1554890,1327960,1764410,2021-03-31
dcid:geoId/23,25,,,,286,3.2,1.08,6.03,156,3.6,0.9,7.02,138,1.6,0.0,4.2,214,1.7,0.29,3.68,391,3.1,1.42,5.24,605,2.4,1.32,3.93,31988,17593,52380,2021-04-03
dcid:geoId/26,86,31.4,19.92,42.24,439,27.2,22.72,32.36,409,14.0,10.54,17.62,385,13.4,9.9,17.34,464,25.4,20.2,30.94,855,20.9,17.48,24.78,1319,23.1,19.89,26.51,2300180,1980544,2639730,2021-04-04
dcid:geoId/27,97,15.0,7.99,21.9,598,12.6,9.92,15.59,345,14.1,10.32,18.51,256,13.1,8.32,18.16,516,12.6,9.39,16.17,780,14.5,11.49,17.38,1296,13.5,11.38,15.8,746193,629013,873323,2021-03-29
dcid:geoId/29,222,32.6,24.92,40.31,376,30.1,24.01,36.44,350,22.1,17.22,27.94,347,14.7,10.47,19.57,505,27.2,22.46,32.64,790,25.9,22.07,30.01,1295,26.6,23.46,29.99,1619956,1428729,1826410,2021-03-31
