Site,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Count_Years18To49_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_Years18To49_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_Years18To49_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_Years18To49_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Count_Years50To64_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_Years50To64_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_Years50To64_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_Years50To64_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Count_65OrMoreYears_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_65OrMoreYears_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_65OrMoreYears_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_65OrMoreYears_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Count_Male_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_Male_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_Male_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_Male_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Count_Female_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_Female_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_Female_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_Female_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Count_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:EstimatedCumulativeCount_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_EstimatedCumulativeCount_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_EstimatedCumulativeCount_MedicalConditionIncident_COVID_19_Seroprevalence,End_Date
dcid:geoId/08,242,8.4,3.72,14.65,246,3.9,1.52,6.83,245,3.1,1.05,5.53,245,1.4,0.28,3.06,437,5.1,2.38,8.37,541,3.8,1.96,5.94,978,4.4,2.82,6.51,243370,155978,360077,2020-10-19
dcid:geoId/09,246,2.8,0.86,5.17,245,2.3,0.47,4.62,248,1.5,0.0,3.39,249,2.6,0.76,4.8,427,2.7,1.11,4.57,561,1.9,0.76,3.35,988,2.3,1.32,3.52,82375,47276,126069,2020-10-13
dcid:geoId/11,81,7.4,1.87,13.79,425,7.0,4.35,9.83,218,7.9,4.35,12.41,303,3.8,1.55,6.44,465,7.8,5.11,10.95,562,5.9,3.69,8.53,1027,6.8,4.99,8.89,46546,34156,60852,2020-10-22
dcid:geoId/10,45,,,,292,9.8,6.17,14.71,293,3.3,1.25,5.77,350,2.4,0.77,4.78,400,4.1,1.98,6.88,580,10.4,6.42,15.05,980,7.4,4.95,9.88,70263,47000,93810,2020-10-22
dcid:geoId/12,246,6.1,2.89,9.68,245,11.7,6.62,16.82,246,6.6,3.55,10.23,246,4.1,1.51,7.3,386,7.6,4.44,11.18,597,8.4,5.95,11.51,983,8.0,6.01,10.22,1647851,1237948,2105130,2020-10-09
dcid:geoId/13,249,6.6,3.6,10.13,250,11.1,6.61,16.3,259,6.5,3.34,10.43,250,6.2,3.01,10.01,442,8.2,5.19,11.67,566,8.8,5.47,12.72,1008,8.5,6.17,11.18,875286,635355,1151259,2020-10-13
dcid:geoId/15,16,,,,204,1.6,0.0,3.68,21,,,,198,3.0,0.69,6.23,137,1.2,0.0,2.93,302,2.8,0.32,6.82,439,2.0,0.55,4.19,28441,7821,59583,2020-10-22
dcid:geoId/19,21,,,,375,16.2,12.05,20.33,295,10.0,6.37,14.22,285,8.3,4.83,11.66,434,10.5,7.62,13.73,542,15.4,8.96,23.5,976,13.0,9.28,18.19,407225,290696,569802,2020-10-22
dcid:geoId/16,10,,,,366,6.9,3.82,10.46,247,4.2,1.11,8.18,362,3.4,1.68,5.53,398,3.1,1.51,5.77,587,5.2,2.83,8.58,985,4.2,2.64,6.02,70888,44558,101606,2020-10-21
dcid:geoId/17,246,3.5,1.49,5.96,244,8.6,5.2,12.31,245,3.6,1.48,6.28,244,4.1,1.8,7.2,426,4.4,2.19,6.69,553,7.1,4.47,9.75,979,5.8,4.14,7.54,743647,530810,966741,2020-10-13
dcid:geoId/18,18,,,,681,3.4,1.73,5.21,263,4.5,1.2,9.51,261,1.3,0.12,2.75,305,1.6,0.22,3.72,918,7.5,3.03,13.44,1223,4.6,2.27,7.83,305322,150670,519710,2020-10-20
dcid:geoId/20,239,7.6,3.85,11.44,242,9.1,5.13,13.39,242,4.1,1.57,6.99,244,4.6,1.84,7.83,433,8.1,5.23,11.37,534,6.1,3.79,8.52,967,7.1,5.16,9.18,206523,150093,267026,2020-10-22
dcid:geoId/21,39,,,,376,4.8,2.46,7.1,288,3.7,1.52,6.23,277,1.4,0.24,3.13,429,2.3,0.8,4.05,551,4.3,2.38,6.68,980,3.3,1.95,4.72,146527,86584,209578,2020-10-16
dcid:geoId/22,245,16.7,11.88,22.52,245,9.2,5.08,13.91,245,6.0,2.79,9.43,245,5.0,2.58,8.37,376,8.9,5.62,13.09,604,10.7,7.64,13.87,980,9.8,7.36,12.46,457034,343242,581087,2020-10-19
dcid:geoId/25,243,3.0,0.79,5.69,245,2.2,0.43,4.42,248,3.2,1.17,5.81,243,2.1,0.37,4.25,433,2.4,0.78,4.28,546,2.7,1.24,4.36,979,2.6,1.5,3.88,177585,102453,265011,2020-10-13
dcid:geoId/24,40,,,,187,18.9,13.19,25.63,205,6.6,3.2,10.52,195,3.8,1.41,6.94,357,15.2,10.89,20.46,270,7.8,3.76,12.98,627,11.4,8.27,14.84,684392,496484,890910,2020-10-21
dcid:geoId/23,35,,,,379,0.5,0.0,1.41,255,1.1,0.0,2.98,314,0.9,0.0,2.71,367,0.8,0.0,1.93,616,0.5,0.09,1.09,983,0.6,0.16,1.25,7997,2133,16660,2020-10-22
dcid:geoId/26,244,4.2,1.71,7.51,245,3.6,1.24,6.23,245,2.1,0.34,4.4,245,2.3,0.39,4.73,456,3.1,1.56,5.1,523,3.3,1.59,5.08,979,3.2,1.96,4.55,318640,195167,453066,2020-10-16
dcid:geoId/27,97,7.4,2.49,13.35,358,8.9,5.13,12.5,287,6.8,3.53,10.93,242,4.6,1.74,8.33,419,7.3,4.24,11.22,565,7.6,5.08,10.42,984,7.5,5.36,10.01,414552,296266,553289,2020-10-22
dcid:geoId/29,243,11.7,7.09,16.74,244,7.2,3.49,11.46,244,1.7,0.0,4.17,245,3.2,1.18,5.43,428,5.6,2.88,8.57,548,7.3,4.36,10.47,976,6.5,4.37,8.64,395854,266136,526181,2020-10-15
dcid:geoId/28,47,,,,307,17.2,12.11,23.17,309,8.4,5.19,12.3,309,5.4,2.57,8.99,391,10.9,5.75,16.91,581,15.2,9.91,20.91,972,13.1,9.4,17.24,391528,280944,515263,2020-10-20
dcid:geoId/30,26,,,,207,3.2,0.92,6.02,180,3.4,1.16,6.44,175,2.7,0.4,5.85,240,3.4,0.85,7.22,348,3.0,1.16,5.08,588,3.2,1.57,5.01,33335,16355,52191,2020-10-21
dcid:geoId/37,249,2.9,0.81,5.22,248,3.5,0.94,6.36,249,3.1,1.07,5.74,249,4.6,2.04,7.66,428,4.1,1.75,6.69,567,2.8,1.43,4.47,995,3.5,2.05,5.04,355447,208190,511843,2020-10-19
dcid:geoId/38,4,,,,22,,,,18,,,,11,,,,26,,,,29,,,,55,,,,,,,2020-10-16
dcid:geoId/31,109,13.3,6.34,22.75,316,13.0,9.0,17.95,307,11.6,7.68,16.15,234,2.6,0.93,4.86,467,11.6,7.66,16.05,499,10.9,7.53,14.31,966,11.3,8.6,14.13,215238,163809,269143,2020-10-21
dcid:geoId/33,38,,,,270,0.5,0.0,1.77,291,2.2,0.67,4.17,381,0.6,0.0,1.94,396,0.7,0.03,1.63,584,0.9,0.28,1.7,980,0.8,0.31,1.42,10749,4165,19079,2020-10-15
dcid:geoId/34,145,12.4,6.88,18.63,250,15.0,10.92,19.88,241,12.0,7.88,16.13,253,6.3,3.47,9.53,428,13.3,9.65,16.96,461,11.6,8.41,14.91,889,12.4,10.02,15.17,1101349,889961,1347376,2020-10-21
dcid:geoId/35,197,4.0,1.51,7.28,260,6.8,3.5,10.91,260,3.9,1.4,7.02,259,1.9,0.41,3.98,383,3.9,1.56,6.47,593,5.6,3.3,7.97,976,4.8,3.26,6.62,100437,68213,138519,2020-10-20
dcid:geoId/32,245,10.6,6.89,15.0,246,9.2,5.49,13.29,245,3.4,1.25,5.87,245,7.6,4.04,11.43,370,8.3,5.43,11.49,611,8.0,5.69,10.77,981,8.2,6.4,10.06,239674,187062,294039,2020-10-16
dcid:geoId/36,221,20.8,14.84,26.67,210,28.3,22.69,34.86,162,18.0,11.52,24.91,227,11.0,7.07,15.43,347,22.5,17.37,28.05,473,21.4,17.28,25.44,820,21.9,18.72,25.25,4296441,3672574,4953659,2020-10-21
dcid:geoId/39,121,2.4,0.0,5.83,284,1.2,0.0,2.87,273,1.9,0.37,4.03,302,2.1,0.49,4.08,467,1.8,0.63,3.32,513,1.7,0.49,3.19,980,1.8,0.94,2.75,209554,109434,320152,2020-10-22
dcid:geoId/40,245,5.3,2.46,8.9,244,10.9,5.85,15.84,245,4.3,1.72,7.1,246,5.0,2.09,8.06,408,8.2,4.79,11.83,572,6.6,3.92,9.47,980,7.4,5.08,9.71,289942,199041,380451,2020-10-14
dcid:geoId/41,46,,,,251,2.6,0.82,4.68,337,1.9,0.68,3.48,338,0.7,0.0,1.73,426,2.0,0.32,4.92,546,2.1,0.81,3.75,972,2.1,0.87,3.59,85721,35513,146542,2020-10-19
dcid:geoId/42,54,,,,527,14.0,11.05,17.1,231,13.7,9.06,19.05,134,1.1,0.0,2.61,703,14.9,12.14,18.13,243,6.1,2.77,10.64,946,10.5,8.39,13.16,1343074,1073180,1683319,2020-10-21
dcid:geoId/72,245,1.1,0.0,2.66,245,3.2,0.82,5.95,245,4.5,1.85,7.7,245,2.2,0.64,4.59,387,2.9,1.09,5.08,593,2.8,1.42,4.34,980,2.8,1.64,4.38,94834,55546,148348,2020-10-13
dcid:geoId/44,26,,,,309,3.0,1.03,5.21,217,5.1,2.19,8.49,208,0.4,0.0,1.49,338,2.7,1.15,4.42,422,2.2,0.94,3.69,760,2.4,1.43,3.54,25359,15110,37404,2020-10-22
dcid:geoId/45,82,9.1,2.97,16.49,247,9.8,6.21,13.94,344,7.3,4.43,10.52,358,2.9,1.35,4.88,432,4.9,2.28,8.3,599,10.9,7.23,14.79,1031,8.0,5.78,10.49,396474,286452,519877,2020-10-21
dcid:geoId/46,3,,,,19,,,,5,,,,7,,,,21,,,,13,,,,34,,,,,,,2020-10-22
dcid:geoId/47,243,11.0,6.21,15.8,252,12.5,8.28,16.89,250,7.4,3.91,11.17,250,4.4,1.66,7.48,425,9.4,5.82,13.2,570,10.3,7.35,13.55,995,9.9,7.49,12.26,658458,498167,815424,2020-10-15
dcid:geoId/48,246,13.8,9.71,18.65,250,9.1,5.53,13.49,247,12.2,7.55,17.99,249,5.1,2.48,8.23,453,10.9,7.47,15.22,539,9.9,7.05,13.01,992,10.4,8.15,12.98,2900060,2272643,3619498,2020-10-19
dcid:geoId/49,80,11.5,4.43,19.15,333,8.9,5.91,12.22,321,8.0,4.94,11.2,244,4.2,1.53,7.5,427,8.6,4.8,12.85,551,9.5,6.03,13.27,978,9.1,6.3,11.99,277127,191857,365137,2020-10-21
dcid:geoId/51,19,,,,260,6.5,2.95,10.73,253,4.7,1.45,8.39,332,2.4,0.52,4.7,304,4.7,1.84,8.39,560,3.6,1.9,5.35,864,4.1,2.41,6.2,344965,202772,521654,2020-10-21
dcid:geoId/50,16,,,,209,0.0,0.0,1.75,137,0.0,0.0,2.66,110,2.5,0.0,6.74,164,0.9,0.0,2.48,308,0.0,0.0,1.19,472,0.4,0.0,1.22,2500,0,7625,2020-10-22
dcid:geoId/53,136,5.0,0.87,10.05,241,0.5,0.0,1.82,353,1.1,0.22,2.52,244,2.9,0.8,5.44,449,1.4,0.39,2.85,525,2.6,0.88,4.93,974,2.0,0.91,3.21,145887,66378,234148,2020-10-21
dcid:geoId/55,58,,,,299,6.3,3.7,9.87,281,6.6,3.47,9.88,335,2.5,0.45,4.85,472,5.9,3.51,8.66,501,4.1,1.93,6.68,973,5.0,3.41,6.98,288920,197043,403332,2020-10-22
dcid:geoId/54,39,,,,414,3.9,1.85,6.38,334,2.1,0.38,4.29,337,1.2,0.0,3.21,448,2.5,0.91,4.32,675,2.0,0.91,3.22,1124,2.2,1.29,3.3,40239,23595,60359,2020-10-22
dcid:geoId/56,5,,,,48,,,,48,,,,22,,,,60,,,,63,,,,123,2.6,0.46,5.78,15128,2676,33630,2020-10-21
dcid:country/USA,6487,8.2,7.32,9.07,14577,8.7,8.09,9.34,12529,6.3,5.62,7.0,12686,3.9,3.39,4.45,19580,7.2,6.68,7.7,26698,7.2,6.73,7.72,46279,7.2,6.83,7.58,23492878,22285605,24732780,2020-10-22
dcid:geoId/02,27,,,,618,6.0,4.04,8.39,421,6.2,3.59,9.42,347,1.7,0.57,3.28,595,8.9,3.82,16.95,818,3.5,2.2,5.17,1413,6.3,3.68,10.57,46527,27177,78061,2020-11-13
dcid:geoId/01,415,11.2,8.23,14.54,338,10.5,6.9,13.9,409,7.7,4.99,10.26,376,4.7,2.54,6.76,629,7.8,5.45,10.35,907,10.4,8.24,12.71,1538,9.2,7.57,10.99,447551,368256,534628,2020-11-09
dcid:geoId/05,193,9.0,4.91,13.52,583,7.4,5.45,9.74,323,5.1,2.64,7.71,401,2.2,0.7,3.81,622,6.4,4.34,8.61,877,6.7,4.89,8.9,1500,6.5,5.15,7.98,194394,154020,238656,2020-11-06
dcid:geoId/04,382,11.7,8.55,15.23,455,11.1,8.1,14.27,448,7.2,4.8,9.68,515,5.4,3.27,7.5,721,10.6,8.05,13.15,1078,8.6,6.45,10.56,1800,9.6,8.08,11.12,666882,561292,772471,2020-11-10
dcid:geoId/06,321,8.3,5.06,11.67,340,7.4,4.73,10.43,329,6.2,3.59,9.09,325,1.4,0.23,2.93,505,6.0,3.76,8.74,807,7.1,4.95,9.36,1315,6.6,5.09,8.12,2583818,1992672,3178879,2020-11-12
dcid:geoId/08,324,8.3,4.15,14.34,329,4.8,2.33,7.76,329,3.8,1.51,6.16,311,2.0,0.42,3.89,574,6.1,3.57,9.04,719,4.0,2.24,5.74,1293,5.0,3.35,6.8,276557,185293,376118,2020-11-13
dcid:geoId/09,305,3.5,1.46,6.01,236,3.2,0.93,6.06,221,4.4,1.46,7.72,247,2.8,0.84,5.45,412,5.7,3.19,8.84,597,1.3,0.35,2.59,1009,3.5,2.09,4.99,125353,74853,178717,2020-11-14
dcid:geoId/11,161,15.8,10.34,22.67,365,7.0,4.2,9.69,327,7.9,5.17,11.23,322,8.1,5.14,11.61,444,8.7,6.1,11.71,730,9.0,6.51,11.36,1175,8.8,6.97,10.67,60236,47710,73036,2020-11-11
dcid:geoId/10,61,,,,454,9.1,6.37,12.3,234,5.5,2.51,8.79,200,2.9,0.67,5.3,349,13.4,8.63,19.12,600,7.5,4.74,10.84,949,10.4,7.72,13.62,98747,73301,129321,2020-11-09
dcid:geoId/12,360,8.3,5.22,11.5,333,9.2,6.19,12.38,330,6.4,4.01,9.55,337,4.7,2.44,7.18,555,7.6,5.16,10.31,804,7.6,5.82,9.49,1360,7.6,6.02,9.11,1565459,1240008,1876490,2020-11-04
dcid:geoId/13,327,11.9,8.29,15.78,337,15.9,11.31,20.99,324,10.0,6.34,13.49,342,5.0,2.66,7.61,572,10.5,7.39,13.89,758,14.2,10.86,17.84,1330,12.4,10.01,14.88,1276888,1030778,1532266,2020-11-13
dcid:geoId/15,28,,,,264,5.6,2.82,8.81,359,1.6,0.42,3.16,413,1.5,0.33,3.13,376,3.7,1.43,6.47,688,2.1,0.89,3.6,1064,2.9,1.66,4.68,41239,23606,66551,2020-11-15
dcid:geoId/19,69,,,,546,12.8,9.98,16.05,326,8.9,5.95,12.08,252,4.2,1.56,6.82,554,11.4,7.81,15.69,639,12.4,9.04,16.46,1193,11.9,9.37,14.58,372767,293515,456718,2020-11-13
dcid:geoId/16,40,,,,492,7.3,4.62,10.45,344,6.3,3.67,9.2,426,5.4,2.79,8.55,490,4.5,2.64,6.69,812,8.2,4.64,12.61,1302,6.3,4.19,8.96,106332,70719,151228,2020-11-13
dcid:geoId/17,327,17.1,12.48,21.52,395,14.2,10.57,17.89,476,11.8,8.67,14.91,359,4.0,2.22,6.1,613,13.4,10.53,16.6,944,12.4,9.81,14.87,1557,12.9,10.87,14.94,1653973,1393697,1915532,2020-11-07
dcid:geoId/18,18,,,,677,8.2,5.71,10.9,249,5.1,1.49,10.25,278,3.1,0.54,7.29,273,4.3,1.64,7.98,949,8.2,5.33,10.69,1222,6.3,4.25,8.59,418158,282091,570155,2020-11-11
dcid:geoId/20,317,6.9,3.81,10.36,333,4.6,2.37,7.1,337,6.7,3.8,9.91,330,4.2,1.91,7.09,545,4.7,2.56,6.57,772,6.3,4.39,8.39,1317,5.5,4.17,7.06,159983,121296,205360,2020-11-15
dcid:geoId/21,162,9.9,5.04,15.69,427,9.6,6.7,12.88,545,4.1,2.35,6.08,454,2.9,1.1,4.88,675,8.4,5.84,11.37,912,6.6,4.68,8.88,1588,7.5,5.88,9.43,333015,261084,418711,2020-11-10
dcid:geoId/22,327,11.7,6.83,16.69,333,10.3,6.55,14.5,329,8.2,4.63,12.01,327,6.6,3.85,9.4,564,10.0,6.49,14.04,752,9.4,7.16,11.64,1316,9.7,7.49,11.78,452371,349305,549374,2020-11-14
dcid:geoId/25,118,2.9,0.65,6.23,325,4.0,1.63,6.44,337,5.4,2.56,8.41,335,2.3,0.7,4.4,432,4.5,2.41,7.14,683,3.1,1.62,4.67,1115,3.8,2.48,5.2,259547,169389,355170,2020-11-11
dcid:geoId/24,74,,,,423,7.0,4.55,9.47,395,7.2,4.39,10.07,420,1.3,0.32,2.65,478,5.5,2.38,9.06,834,8.8,6.29,11.53,1312,7.2,5.3,9.36,432247,318182,561922,2020-11-11
dcid:geoId/23,27,,,,401,1.4,0.17,3.13,279,0.8,0.0,2.1,288,1.1,0.0,3.19,361,1.2,0.0,2.73,634,0.8,0.13,1.63,995,1.0,0.33,1.79,13328,4398,23857,2020-11-13
dcid:geoId/26,58,,,,602,12.2,9.52,14.73,566,3.9,2.28,5.81,390,1.8,0.59,3.16,623,10.3,6.17,14.72,993,7.0,4.93,9.35,1616,8.6,6.43,11.05,856344,640266,1100302,2020-11-13
dcid:geoId/27,122,2.0,0.0,4.75,407,11.0,8.09,13.92,348,11.8,7.67,16.15,426,6.4,3.83,9.42,557,10.3,7.16,13.14,746,6.4,4.67,8.53,1303,8.4,6.79,10.14,464298,375308,560474,2020-11-13
dcid:geoId/29,72,,,,392,6.8,3.79,9.87,745,6.1,3.77,8.56,298,3.8,1.45,6.78,615,6.5,3.77,9.74,892,5.6,3.47,8.16,1507,6.1,4.32,7.97,371494,263091,485378,2020-11-10
dcid:geoId/28,213,12.6,8.24,18.01,493,12.6,9.64,16.14,452,10.0,7.06,12.95,372,5.6,3.47,8.04,491,10.5,7.51,13.84,1037,11.5,9.45,13.79,1530,11.0,9.31,13.11,328764,278254,391827,2020-11-09
dcid:geoId/30,23,,,,210,7.0,3.73,11.29,167,10.7,5.76,16.02,116,6.0,1.65,11.06,217,5.1,2.48,7.93,299,10.4,6.05,16.28,516,7.7,4.98,11.0,80213,51878,114591,2020-11-13
dcid:geoId/37,394,8.0,5.31,11.23,476,9.2,6.26,11.9,326,7.4,4.1,10.69,324,2.0,0.35,4.1,632,8.2,5.93,10.79,888,6.7,4.73,8.74,1520,7.5,5.89,8.92,761672,598166,905882,2020-11-10
dcid:geoId/38,4,,,,9,,,,11,,,,15,,,,19,,,,20,,,,39,,,,,,,2020-11-09
dcid:geoId/31,101,11.8,5.47,19.79,484,14.2,10.68,18.3,358,10.1,6.55,13.99,345,7.9,4.46,11.43,624,13.1,9.67,16.7,664,10.7,7.26,14.4,1288,11.9,9.58,14.2,226666,182476,270476,2020-11-14
dcid:geoId/33,52,,,,434,0.1,0.0,0.47,322,1.2,0.19,2.49,491,1.2,0.37,2.19,533,0.4,0.0,0.97,766,1.7,0.42,3.45,1299,1.1,0.38,1.97,14780,5106,26469,2020-11-07
dcid:geoId/34,234,14.1,9.33,19.45,332,15.5,11.75,19.39,335,6.9,4.24,9.89,335,5.7,3.44,8.67,511,10.6,7.52,13.74,725,13.1,10.45,16.11,1236,11.9,10.04,13.87,1056940,891737,1231912,2020-11-11
dcid:geoId/35,226,9.2,5.12,13.99,384,9.3,5.81,12.98,367,5.2,2.7,7.98,360,3.1,1.17,5.89,543,6.5,4.23,9.16,794,8.4,5.85,11.28,1337,7.5,5.68,9.39,156933,118850,196480,2020-11-15
dcid:geoId/32,151,12.1,6.76,18.61,396,8.4,5.72,11.58,425,7.7,4.97,11.05,374,4.0,1.93,6.11,505,9.2,6.21,12.5,840,7.8,5.64,9.95,1346,8.5,6.56,10.51,248442,191739,307191,2020-11-09
dcid:geoId/36,311,18.3,13.74,23.45,326,13.1,8.74,17.29,331,11.2,7.12,15.34,387,8.1,5.22,11.15,614,12.3,9.08,15.86,741,13.7,10.39,16.82,1355,13.0,10.7,15.36,2550399,2099174,3013394,2020-11-15
dcid:geoId/39,168,6.3,2.84,10.04,489,9.4,6.61,12.21,506,6.5,4.16,8.85,498,4.1,2.24,6.28,715,9.2,6.62,11.8,946,5.4,3.81,7.21,1661,7.3,5.84,8.79,849857,679886,1023321,2020-11-10
dcid:geoId/40,324,10.7,6.93,14.59,325,4.8,2.35,7.38,325,6.4,3.7,9.63,325,1.5,0.0,3.48,536,5.6,3.42,8.17,763,6.4,4.71,8.4,1299,6.0,4.55,7.7,235088,178275,301697,2020-11-13
dcid:geoId/41,80,4.1,0.0,9.23,611,1.9,0.57,3.59,749,2.1,1.03,3.3,317,1.2,0.0,3.0,760,2.7,0.88,4.99,997,1.9,0.82,3.07,1757,2.3,1.18,3.58,93885,48167,146134,2020-11-13
dcid:geoId/42,210,6.4,3.15,10.14,488,9.2,6.37,12.35,396,4.4,2.41,6.63,459,1.4,0.46,2.51,673,5.7,3.82,7.68,879,6.8,4.89,9.38,1553,6.3,4.95,7.69,805844,633163,983642,2020-11-09
dcid:geoId/72,324,3.0,1.3,5.29,325,4.8,2.31,7.79,325,3.0,1.25,5.36,326,3.1,1.2,5.57,518,3.8,1.93,6.02,782,3.7,2.22,5.45,1300,3.8,2.59,5.17,128704,87722,175105,2020-11-14
dcid:geoId/44,91,3.4,0.0,7.9,325,3.7,1.53,6.09,347,3.7,1.61,5.94,350,2.5,0.93,4.54,465,4.3,2.02,6.85,648,2.6,1.3,4.17,1113,3.4,2.08,4.92,35925,21978,51985,2020-11-13
dcid:geoId/45,446,11.3,8.47,14.3,368,8.0,5.04,11.04,321,10.1,6.95,13.81,421,3.8,1.87,5.75,644,7.7,5.55,10.06,912,9.2,7.17,11.31,1556,8.4,6.94,9.99,416298,343941,495097,2020-11-11
dcid:geoId/46,5,,,,55,,,,56,,,,36,,,,50,,,,102,9.8,3.66,17.04,152,8.8,3.94,15.36,76057,34053,132755,2020-11-10
dcid:geoId/47,309,13.4,9.48,17.34,327,12.4,8.96,16.46,348,9.7,6.09,13.35,299,3.3,1.45,5.48,533,11.0,8.18,14.07,750,10.3,7.85,12.59,1283,10.7,8.75,12.57,711667,581970,836042,2020-11-10
dcid:geoId/48,16,,,,257,16.5,12.11,21.45,220,8.1,3.8,14.14,282,8.8,4.22,16.75,456,17.0,11.62,25.47,319,14.7,8.84,24.99,775,15.9,11.55,23.68,4433746,3220740,6603214,2020-11-11
dcid:geoId/49,32,,,,376,6.8,3.96,9.83,366,9.4,6.34,12.39,345,3.7,1.71,6.04,440,6.3,2.19,12.82,679,7.4,4.43,11.32,1119,6.9,4.22,10.79,210129,128514,328593,2020-11-09
dcid:geoId/51,19,,,,416,5.2,2.98,8.05,372,3.5,1.63,5.78,420,0.3,0.0,0.86,443,3.3,1.27,5.96,784,3.9,2.0,5.89,1227,3.6,2.07,5.6,302896,174165,471171,2020-11-11
dcid:geoId/50,11,,,,326,0.4,0.0,1.17,144,0.4,0.0,1.41,124,0.8,0.0,2.54,180,0.0,0.0,2.03,425,0.9,0.08,1.92,605,0.4,0.04,0.98,2500,250,6125,2020-11-13
dcid:geoId/53,253,3.5,1.35,6.13,543,4.0,2.16,5.89,730,3.5,1.99,5.09,643,1.8,0.72,2.92,956,4.2,2.65,5.9,1213,2.7,1.54,3.97,2169,3.4,2.45,4.44,248007,178711,323869,2020-11-13
dcid:geoId/55,53,,,,438,18.5,14.15,23.45,361,10.2,6.76,14.08,244,7.2,3.1,12.27,453,16.3,11.44,22.09,643,14.3,10.56,18.59,1096,15.3,12.24,18.9,884094,707275,1092116,2020-11-10
dcid:geoId/54,20,,,,360,4.7,2.09,7.78,383,4.7,2.2,7.7,332,1.4,0.23,2.79,456,9.0,3.97,17.54,639,2.0,0.83,3.48,1095,5.5,3.03,9.35,100598,55420,171017,2020-11-15
dcid:geoId/56,16,,,,144,5.2,1.46,10.06,111,4.0,1.0,8.02,131,7.2,2.76,12.52,130,2.4,0.22,5.98,272,7.3,3.64,12.13,402,4.8,2.36,7.62,27928,13731,44336,2020-11-10
dcid:country/USA,8721,10.2,9.39,10.97,20122,9.5,8.97,10.08,18484,6.9,6.42,7.44,17390,3.9,3.45,4.31,26231,8.1,7.6,8.57,38472,8.0,7.56,8.33,64717,8.0,7.72,8.32,26103198,25189586,27147326,2020-11-15
dcid:geoId/02,12,,,,271,6.7,3.68,10.18,183,7.1,3.72,11.36,155,3.9,1.11,7.87,236,4.1,1.22,7.72,385,9.1,5.59,12.95,621,6.5,4.28,9.14,48004,31608,67500,2020-11-28
dcid:geoId/01,347,11.5,7.89,15.51,307,10.5,6.89,14.37,350,8.2,5.36,10.99,316,3.0,1.16,5.05,504,8.1,5.13,11.25,816,9.9,7.58,12.17,1320,9.0,7.15,10.98,437821,347825,534142,2020-11-24
dcid:geoId/05,271,9.5,5.9,13.45,726,7.5,5.62,9.61,619,7.7,5.62,9.91,499,4.5,2.62,6.65,843,6.3,4.57,8.34,1272,8.7,6.9,10.57,2115,7.5,6.25,8.89,224300,186917,265871,2020-11-25
dcid:geoId/04,127,16.4,9.69,23.96,683,12.8,10.2,15.63,729,7.2,5.35,9.14,762,5.4,3.93,7.11,929,12.8,9.78,15.94,1372,10.0,7.68,12.45,2301,11.4,9.47,13.63,791922,657851,946833,2020-11-25
